Student_ID,Course,Total_Classes,Classes_Attended,Attendance_Percentage
203,F,120,60,50.0
560,E,120,60,50.0
917,E,120,61,50.83
1480,D,120,61,50.83
1595,C,120,61,50.83
2514,A,120,61,50.83
2714,F,120,61,50.83
2728,F,120,61,50.83
3938,D,120,61,50.83
238,F,120,62,51.67
1422,D,120,62,51.67
3340,E,120,62,51.67
339,A,120,63,52.5
757,E,120,63,52.5
1174,D,120,63,52.5
2199,B,120,63,52.5
2338,G,120,63,52.5
2659,A,120,63,52.5
2797,A,120,63,52.5
2981,A,120,63,52.5
3957,D,120,63,52.5
4335,C,120,63,52.5
4486,C,120,63,52.5
4622,G,120,63,52.5
60,F,120,64,53.33
1725,C,120,64,53.33
1776,C,120,64,53.33
2144,B,120,64,53.33
2295,B,120,64,53.33
2324,G,120,64,53.33
2604,A,120,64,53.33
2681,A,120,64,53.33
3279,E,120,64,53.33
4503,B,120,64,53.33
4730,B,120,64,53.33
4953,B,120,64,53.33
129,F,120,65,54.17
181,F,120,65,54.17
204,F,120,65,54.17
205,A,120,65,54.17
209,A,120,65,54.17
291,A,120,65,54.17
732,E,120,65,54.17
733,E,120,65,54.17
1515,C,120,65,54.17
1831,C,120,65,54.17
1868,C,120,65,54.17
1871,C,120,65,54.17
2022,B,120,65,54.17
2381,B,120,65,54.17
2806,A,120,65,54.17
2839,A,120,65,54.17
2850,F,120,65,54.17
2859,F,120,65,54.17
2878,F,120,65,54.17
2935,F,120,65,54.17
3126,E,120,65,54.17
3284,E,120,65,54.17
4005,C,120,65,54.17
4274,C,120,65,54.17
4471,C,120,65,54.17
4536,G,120,65,54.17
4577,B,120,65,54.17
4648,B,120,65,54.17
4783,G,120,65,54.17
4897,B,120,65,54.17
4944,B,120,65,54.17
99,F,120,66,55.0
122,A,120,66,55.0
412,F,120,66,55.0
768,E,120,66,55.0
858,E,120,66,55.0
993,E,120,66,55.0
1282,D,120,66,55.0
1286,D,120,66,55.0
1520,C,120,66,55.0
1553,C,120,66,55.0
1700,C,120,66,55.0
1707,C,120,66,55.0
1837,C,120,66,55.0
1860,C,120,66,55.0
2089,B,120,66,55.0
2105,B,120,66,55.0
2116,G,120,66,55.0
2117,G,120,66,55.0
2315,G,120,66,55.0
2503,A,120,66,55.0
2708,F,120,66,55.0
2901,F,120,66,55.0
2933,A,120,66,55.0
2950,F,120,66,55.0
2957,A,120,66,55.0
3411,E,120,66,55.0
3499,E,120,66,55.0
3732,D,120,66,55.0
3895,D,120,66,55.0
3935,D,120,66,55.0
4447,C,120,66,55.0
4451,C,120,66,55.0
4502,G,120,66,55.0
4523,B,120,66,55.0
4535,B,120,66,55.0
4582,G,120,66,55.0
4653,B,120,66,55.0
4890,G,120,66,55.0
4922,G,120,66,55.0
4963,B,120,66,55.0
4976,G,120,66,55.0
101,F,120,67,55.83
157,A,120,67,55.83
350,F,120,67,55.83
460,A,120,67,55.83
484,F,120,67,55.83
585,E,120,67,55.83
630,E,120,67,55.83
749,E,120,67,55.83
969,E,120,67,55.83
1311,D,120,67,55.83
1337,D,120,67,55.83
1361,D,120,67,55.83
1407,D,120,67,55.83
1571,C,120,67,55.83
1763,C,120,67,55.83
1766,C,120,67,55.83
1880,C,120,67,55.83
1976,C,120,67,55.83
2026,B,120,67,55.83
2034,B,120,67,55.83
2034,G,120,67,55.83
2039,G,120,67,55.83
2068,B,120,67,55.83
2102,B,120,67,55.83
2224,B,120,67,55.83
2240,G,120,67,55.83
2283,G,120,67,55.83
2454,G,120,67,55.83
2542,F,120,67,55.83
2566,A,120,67,55.83
2615,A,120,67,55.83
2617,A,120,67,55.83
2651,F,120,67,55.83
2653,F,120,67,55.83
2685,F,120,67,55.83
2696,A,120,67,55.83
2749,A,120,67,55.83
2794,F,120,67,55.83
2816,F,120,67,55.83
2924,A,120,67,55.83
2939,F,120,67,55.83
3043,E,120,67,55.83
3071,E,120,67,55.83
3103,E,120,67,55.83
3160,E,120,67,55.83
3194,E,120,67,55.83
3211,E,120,67,55.83
3307,E,120,67,55.83
3378,E,120,67,55.83
3404,E,120,67,55.83
3432,E,120,67,55.83
3530,D,120,67,55.83
3534,D,120,67,55.83
3583,D,120,67,55.83
3617,D,120,67,55.83
3753,D,120,67,55.83
4012,C,120,67,55.83
4184,C,120,67,55.83
