Student_ID,Course,Total_Classes,Classes_Attended,Attendance_Percentage
0,A,120,85,70.83
0,B,120,99,82.5
0,C,120,112,93.33
0,D,120,112,93.33
0,E,120,103,85.83
0,F,120,82,68.33
0,G,120,95,79.17
1,A,120,85,70.83
1,B,120,96,80.0
1,C,120,114,95.0
1,D,120,109,90.83
1,E,120,100,83.33
1,F,120,82,68.33
1,G,120,98,81.67
2,A,120,82,68.33
2,B,120,90,75.0
2,C,120,113,94.17
2,D,120,117,97.5
2,E,120,92,76.67
2,F,120,79,65.83
2,G,120,93,77.5
3,A,120,76,63.33
3,B,120,100,83.33
3,C,120,116,96.67
3,D,120,113,94.17
3,E,120,106,88.33
3,F,120,79,65.83
3,G,120,96,80.0
4,A,120,84,70.0
4,B,120,99,82.5
4,C,120,117,97.5
4,D,120,105,87.5
4,E,120,103,85.83
4,F,120,77,64.17
4,G,120,90,75.0
5,A,120,76,63.33
5,B,120,97,80.83
5,C,120,114,95.0
5,D,120,113,94.17
5,E,120,96,80.0
5,F,120,74,61.67
5,G,120,97,80.83
6,A,120,82,68.33
6,B,120,96,80.0
6,C,120,117,97.5
6,D,120,117,97.5
6,E,120,94,78.33
6,F,120,76,63.33
6,G,120,102,85.0
7,A,120,83,69.17
7,B,120,100,83.33
7,C,120,112,93.33
7,D,120,114,95.0
7,E,120,102,85.0
7,F,120,77,64.17
7,G,120,97,80.83
8,A,120,76,63.33
8,B,120,90,75.0
8,C,120,112,93.33
8,D,120,110,91.67
8,E,120,96,80.0
8,F,120,78,65.0
8,G,120,96,80.0
9,A,120,77,64.17
9,B,120,89,74.17
9,C,120,116,96.67
9,D,120,114,95.0
9,E,120,103,85.83
9,F,120,74,61.67
9,G,120,98,81.67
10,A,120,79,65.83
10,B,120,95,79.17
10,C,120,114,95.0
10,D,120,111,92.5
10,E,120,96,80.0
10,F,120,74,61.67
10,G,120,89,74.17
11,A,120,80,66.67
11,B,120,105,87.5
11,C,120,117,97.5
11,D,120,110,91.67
11,E,120,103,85.83
11,F,120,78,65.0
11,G,120,93,77.5
12,A,120,77,64.17
12,B,120,87,72.5
12,C,120,114,95.0
12,D,120,113,94.17
12,E,120,102,85.0
12,F,120,76,63.33
12,G,120,97,80.83
13,A,120,83,69.17
13,B,120,93,77.5
13,C,120,118,98.33
13,D,120,115,95.83
13,E,120,99,82.5
13,F,120,85,70.83
13,G,120,102,85.0
14,A,120,86,71.67
14,B,120,98,81.67
14,C,120,114,95.0
14,D,120,115,95.83
14,E,120,105,87.5
14,F,120,78,65.0
14,G,120,104,86.67
15,A,120,76,63.33
15,B,120,101,84.17
15,C,120,113,94.17
15,D,120,111,92.5
15,E,120,105,87.5
15,F,120,86,71.67
15,G,120,94,78.33
16,A,120,82,68.33
16,B,120,91,75.83
16,C,120,115,95.83
16,D,120,113,94.17
16,E,120,101,84.17
16,F,120,79,65.83
16,G,120,101,84.17
17,A,120,81,67.5
17,B,120,97,80.83
17,C,120,116,96.67
17,D,120,112,93.33
17,E,120,103,85.83
17,F,120,69,57.5
17,G,120,98,81.67
18,A,120,81,67.5
18,B,120,99,82.5
18,C,120,111,92.5
18,D,120,109,90.83
18,E,120,102,85.0
18,F,120,80,66.67
18,G,120,97,80.83
19,A,120,78,65.0
19,B,120,94,78.33
19,C,120,111,92.5
19,D,120,106,88.33
19,E,120,98,81.67
19,F,120,71,59.17
19,G,120,107,89.17
20,A,120,83,69.17
20,B,120,92,76.67
20,C,120,110,91.67
20,D,120,109,90.83
20,E,120,102,85.0
20,F,120,75,62.5
20,G,120,89,74.17
21,A,120,74,61.67
21,B,120,99,82.5
21,C,120,119,99.17
21,D,120,111,92.5
21,E,120,106,88.33
21,F,120,82,68.33
21,G,120,107,89.17
22,A,120,78,65.0
22,B,120,90,75.0
22,C,120,115,95.83
22,D,120,110,91.67
22,E,120,105,87.5
22,F,120,81,67.5
22,G,120,91,75.83
23,A,120,76,63.33
23,B,120,91,75.83
23,C,120,115,95.83
23,D,120,116,96.67
23,E,120,101,84.17
23,F,120,83,69.17
23,G,120,92,76.67
24,A,120,80,66.67
24,B,120,96,80.0
24,C,120,116,96.67
24,D,120,113,94.17
24,E,120,106,88.33
24,F,120,76,63.33
24,G,120,98,81.67
25,A,120,80,66.67
25,B,120,91,75.83
25,C,120,115,95.83
25,D,120,106,88.33
25,E,120,107,89.17
25,F,120,70,58.33
25,G,120,97,80.83
26,A,120,80,66.67
26,B,120,94,78.33
26,C,120,113,94.17
26,D,120,110,91.67
26,E,120,104,86.67
26,F,120,83,69.17
26,G,120,104,86.67
27,A,120,72,60.0
27,B,120,97,80.83
27,C,120,113,94.17
27,D,120,114,95.0
27,E,120,96,80.0
27,F,120,74,61.67
27,G,120,95,79.17
28,A,120,80,66.67
28,B,120,92,76.67
28,C,120,112,93.33
28,D,120,113,94.17
28,E,120,98,81.67
28,F,120,75,62.5
28,G,120,96,80.0
29,A,120,80,66.67
29,B,120,95,79.17
29,C,120,111,92.5
29,D,120,109,90.83
