Building,Day,Hour,Usage_kWh
Hostel_1,Mon,0,107.39
Hostel_2,Mon,0,199.84
Hostel_3,Mon,0,169.6
Hostel_4,Mon,0,197.59
Hostel_5,Mon,0,149.49
Hostel_6,Mon,0,135.95
Hostel_7,Mon,0,82.86
Hostel_8,Mon,0,179.8
Hostel_9,Mon,0,132.82
Hostel_10,Mon,0,123.66
Hostel_11,Mon,0,106.33
Hostel_12,Mon,0,110.35
Hostel_13,Mon,0,99.17
Hostel_14,Mon,0,204.02
Dept_1,Mon,0,31.23
Dept_2,Mon,0,23.29
Dept_3,Mon,0,28.13
Dept_4,Mon,0,21
Dept_5,Mon,0,27.09
Dept_6,Mon,0,29.2
Dept_7,Mon,0,22.39
Dept_8,Mon,0,31.85
Dept_9,Mon,0,26.83
Dept_10,Mon,0,28.71
Dept_11,Mon,0,10.31
Dept_12,Mon,0,19.62
Dept_13,Mon,0,29.39
Dept_14,Mon,0,24.56
Dept_15,Mon,0,21.15
Dept_16,Mon,0,38.44
Dept_17,Mon,0,21.37
Dept_18,Mon,0,33.74
Dept_19,Mon,0,16.72
Dept_20,Mon,0,21.99
Dept_21,Mon,0,37.37
Dept_22,Mon,0,40.6
Dept_23,Mon,0,16.07
Library,Mon,0,47.63
Lecture_Hall_1,Mon,0,26.06
Lecture_Hall_2,Mon,0,24.03
MAC,Mon,0,53.09
SAC,Mon,0,70.54
Gym,Mon,0,34.38
Sports_Facility,Mon,0,34.73
Residencies,Mon,0,165.02
Extras,Mon,0,42.52
Hostel_1,Mon,1,114.21
Hostel_2,Mon,1,153.47
Hostel_3,Mon,1,181.42
Hostel_4,Mon,1,191.95
Hostel_5,Mon,1,169.89
Hostel_6,Mon,1,122.35
Hostel_7,Mon,1,119.04
Hostel_8,Mon,1,174.91
Hostel_9,Mon,1,107.08
Hostel_10,Mon,1,130.46
Hostel_11,Mon,1,108.45
Hostel_12,Mon,1,106.7
Hostel_13,Mon,1,110.06
Hostel_14,Mon,1,203.54
Dept_1,Mon,1,31.39
Dept_2,Mon,1,19.65
Dept_3,Mon,1,30.07
Dept_4,Mon,1,22.54
Dept_5,Mon,1,21.44
Dept_6,Mon,1,27.19
Dept_7,Mon,1,22.63
Dept_8,Mon,1,26.28
Dept_9,Mon,1,30.93
Dept_10,Mon,1,24.32
Dept_11,Mon,1,17.34
Dept_12,Mon,1,25.19
Dept_13,Mon,1,32.8
Dept_14,Mon,1,22.59
Dept_15,Mon,1,24.28
Dept_16,Mon,1,31.02
Dept_17,Mon,1,18.14
Dept_18,Mon,1,30.54
Dept_19,Mon,1,16.55
Dept_20,Mon,1,24.02
Dept_21,Mon,1,30.29
Dept_22,Mon,1,41.47
Dept_23,Mon,1,13.12
Library,Mon,1,46.96
Lecture_Hall_1,Mon,1,24.26
Lecture_Hall_2,Mon,1,24.52
MAC,Mon,1,51.21
SAC,Mon,1,59.5
Gym,Mon,1,40.43
Sports_Facility,Mon,1,27.73
Residencies,Mon,1,167.67
Extras,Mon,1,38.03
Hostel_1,Mon,2,120.17
Hostel_2,Mon,2,201.87
Hostel_3,Mon,2,177.16
Hostel_4,Mon,2,212.37
Hostel_5,Mon,2,176.54
Hostel_6,Mon,2,126.79
Hostel_7,Mon,2,107.79
Hostel_8,Mon,2,169.62
Hostel_9,Mon,2,130.74
Hostel_10,Mon,2,114.22
Hostel_11,Mon,2,116.56
Hostel_12,Mon,2,118.43
Hostel_13,Mon,2,105.95
Hostel_14,Mon,2,167.62
Dept_1,Mon,2,27.42
Dept_2,Mon,2,27.2
Dept_3,Mon,2,30.32
Dept_4,Mon,2,19.88
Dept_5,Mon,2,23.43
Dept_6,Mon,2,28.47
Dept_7,Mon,2,19.99
Dept_8,Mon,2,25.27
Dept_9,Mon,2,30.01
Dept_10,Mon,2,24.43
Dept_11,Mon,2,16.33
Dept_12,Mon,2,20.03
Dept_13,Mon,2,31.76
Dept_14,Mon,2,24.73
Dept_15,Mon,2,19.76
Dept_16,Mon,2,28.25
Dept_17,Mon,2,16.68
Dept_18,Mon,2,33.47
Dept_19,Mon,2,15
Dept_20,Mon,2,21.47
Dept_21,Mon,2,29.37
Dept_22,Mon,2,27.73
Dept_23,Mon,2,15.18
Library,Mon,2,49.22
Lecture_Hall_1,Mon,2,22.11
Lecture_Hall_2,Mon,2,18.92
MAC,Mon,2,48.2
SAC,Mon,2,74.65
Gym,Mon,2,32
Sports_Facility,Mon,2,33.85
Residencies,Mon,2,204.74
Extras,Mon,2,37.11
Hostel_1,Mon,3,119.19
Hostel_2,Mon,3,192.19
Hostel_3,Mon,3,196.52
Hostel_4,Mon,3,212.21
Hostel_5,Mon,3,181.39
Hostel_6,Mon,3,124.57
Hostel_7,Mon,3,93.2
Hostel_8,Mon,3,193.25
Hostel_9,Mon,3,121.06
Hostel_10,Mon,3,125.73
Hostel_11,Mon,3,113.29
Hostel_12,Mon,3,124.05
Hostel_13,Mon,3,96.9
Hostel_14,Mon,3,179.49
Dept_1,Mon,3,26.8
Dept_2,Mon,3,25.9
Dept_3,Mon,3,28.06
Dept_4,Mon,3,20.13
Dept_5,Mon,3,23.72
Dept_6,Mon,3,21.62
Dept_7,Mon,3,18.86
Dept_8,Mon,3,28.42
Dept_9,Mon,3,28.19
Dept_10,Mon,3,22.29
Dept_11,Mon,3,16.86
Dept_12,Mon,3,22.41
Dept_13,Mon,3,30.92
Dept_14,Mon,3,26.25
Dept_15,Mon,3,22.32
Dept_16,Mon,3,35.2
Dept_17,Mon,3,18.25
Dept_18,Mon,3,38.52
Dept_19,Mon,3,17.94
Dept_20,Mon,3,20.59
Dept_21,Mon,3,36.76
Dept_22,Mon,3,38.13
Dept_23,Mon,3,13.29
Library,Mon,3,47.24
Lecture_Hall_1,Mon,3,25.55
Lecture_Hall_2,Mon,3,25.41
MAC,Mon,3,50.29
SAC,Mon,3,72.79
Gym,Mon,3,40.91
Sports_Facility,Mon,3,27.5
Residencies,Mon,3,193.01
Extras,Mon,3,38.18
Hostel_1,Mon,4,124.65
Hostel_2,Mon,4,178.78
Hostel_3,Mon,4,137.46
Hostel_4,Mon,4,189.05
Hostel_5,Mon,4,175.21
Hostel_6,Mon,4,141.93
Hostel_7,Mon,4,95.7
Hostel_8,Mon,4,154.76
Hostel_9,Mon,4,134.27
Hostel_10,Mon,4,126.42
Hostel_11,Mon,4,104.02
Hostel_12,Mon,4,117.3
Hostel_13,Mon,4,106.51
Hostel_14,Mon,4,193.05
Dept_1,Mon,4,32.64
Dept_2,Mon,4,25.01
Dept_3,Mon,4,31.18
Dept_4,Mon,4,21.52
Dept_5,Mon,4,24.76
Dept_6,Mon,4,21.61
Dept_7,Mon,4,21.73
Dept_8,Mon,4,30.47
Dept_9,Mon,4,27.51
Dept_10,Mon,4,20.9
Dept_11,Mon,4,13.55
Dept_12,Mon,4,20.15
Dept_13,Mon,4,26.65
Dept_14,Mon,4,23.06
Dept_15,Mon,4,21.51
Dept_16,Mon,4,38.23
Dept_17,Mon,4,18.76
Dept_18,Mon,4,40.1
Dept_19,Mon,4,19.71
Dept_20,Mon,4,19.69
Dept_21,Mon,4,32.62
Dept_22,Mon,4,30.11
Dept_23,Mon,4,11.71
Library,Mon,4,49.5
Lecture_Hall_1,Mon,4,26.53
Lecture_Hall_2,Mon,4,21.9
MAC,Mon,4,52.63
SAC,Mon,4,69.36
Gym,Mon,4,35.99
Sports_Facility,Mon,4,32.36
Residencies,Mon,4,191.69
Extras,Mon,4,45.18
Hostel_1,Mon,5,93.04
Hostel_2,Mon,5,184.29
Hostel_3,Mon,5,187.74
Hostel_4,Mon,5,209.17
Hostel_5,Mon,5,130.39
Hostel_6,Mon,5,142.12
Hostel_7,Mon,5,105.03
Hostel_8,Mon,5,149.43
Hostel_9,Mon,5,128.05
Hostel_10,Mon,5,120.04
Hostel_11,Mon,5,107.19
Hostel_12,Mon,5,120.8
Hostel_13,Mon,5,122.25
Hostel_14,Mon,5,199.69
Dept_1,Mon,5,28.55
Dept_2,Mon,5,27.33
Dept_3,Mon,5,26.91
Dept_4,Mon,5,18.84
Dept_5,Mon,5,20.77
Dept_6,Mon,5,25.19
Dept_7,Mon,5,19
Dept_8,Mon,5,27.31
Dept_9,Mon,5,26.26
Dept_10,Mon,5,26.64
Dept_11,Mon,5,17.66
Dept_12,Mon,5,18.15
Dept_13,Mon,5,29.41
Dept_14,Mon,5,22.66
Dept_15,Mon,5,18.13
Dept_16,Mon,5,32.96
Dept_17,Mon,5,16.52
Dept_18,Mon,5,31
Dept_19,Mon,5,16.66
Dept_20,Mon,5,23.65
Dept_21,Mon,5,27.93
Dept_22,Mon,5,35.05
Dept_23,Mon,5,13.58
Library,Mon,5,48.58
Lecture_Hall_1,Mon,5,23.82
Lecture_Hall_2,Mon,5,24.01
MAC,Mon,5,55.22
SAC,Mon,5,65.25
Gym,Mon,5,31.48
Sports_Facility,Mon,5,25.51
Residencies,Mon,5,177.43
Extras,Mon,5,31.53
Hostel_1,Mon,6,130.37
Hostel_2,Mon,6,196.05
